,x,y
1,406,256
2,405.9997715,256.2617993
3,405.9990861,256.5235977
4,405.9979438,256.7853946
5,405.9963446,257.047189
6,405.9942885,257.3089803
7,405.9917754,257.5707676
8,405.9888054,257.8325501
9,405.9853786,258.0943271
10,405.9814949,258.3560976
11,405.9771543,258.617861
12,405.9723568,258.8796164
13,405.9671025,259.141363
14,405.9613914,259.4031
15,405.9552235,259.6648267
16,405.9485987,259.9265422
17,405.9415173,260.1882458
18,405.933979,260.4499366
19,405.9259841,260.7116139
20,405.9175324,260.9732768
21,405.9086241,261.2349245
22,405.8992591,261.4965563
23,405.8894375,261.7581714
24,405.8791593,262.0197689
25,405.8684245,262.2813481
26,405.8572332,262.5429081
27,405.8455855,262.8044482
28,405.8334812,263.0659676
29,405.8209206,263.3274655
30,405.8079036,263.588941
31,405.7944302,263.8503934
32,405.7805005,264.1118219
33,405.7661146,264.3732257
34,405.7512725,264.634604
35,405.7359742,264.895956
36,405.7202198,265.1572809
37,405.7040093,265.4185779
38,405.6873427,265.6798462
39,405.6702202,265.9410851
40,405.6526418,266.2022936
41,405.6346075,266.4634711
42,405.6161174,266.7246166
43,405.5971716,266.9857296
44,405.57777,267.246809
45,405.5579128,267.5078542
46,405.5376001,267.7688644
47,405.5168318,268.0298386
48,405.495608,268.2907763
49,405.4739289,268.5516765
50,405.4517944,268.8125385
51,405.4292047,269.0733614
52,405.4061598,269.3341445
53,405.3826598,269.594887
54,405.3587047,269.8555881
55,405.3342947,270.116247
56,405.3094298,270.3768629
57,405.28411,270.637435
58,405.2583355,270.8979625
59,405.2321063,271.1584446
60,405.2054226,271.4188805
61,405.1782843,271.6792695
62,405.1506916,271.9396107
63,405.1226446,272.1999034
64,405.0941433,272.4601467
65,405.0651879,272.7203398
66,405.0357784,272.9804821
67,405.0059148,273.2405726
68,404.9755974,273.5006106
69,404.9448262,273.7605952
70,404.9136013,274.0205258
71,404.8819227,274.2804015
72,404.8497907,274.5402215
73,404.8172052,274.799985
74,404.7841664,275.0596913
75,404.7506744,275.3193395
76,404.7167292,275.5789288
77,404.682331,275.8384585
78,404.64748,276.0979278
79,404.6121761,276.3573359
80,404.5764195,276.6166819
81,404.5402103,276.8759651
82,404.5035487,277.1351848
83,404.4664346,277.3943401
84,404.4288684,277.6534302
85,404.3908499,277.9124543
86,404.3523795,278.1714117
87,404.3134572,278.4303015
88,404.274083,278.689123
89,404.2342572,278.9478754
90,404.1939799,279.2065579
91,404.1532511,279.4651698
92,404.112071,279.7237101
93,404.0704398,279.9821782
94,404.0283575,280.2405732
95,403.9858242,280.4988943
96,403.9428402,280.7571409
97,403.8994056,281.015312
98,403.8555204,281.2734069
99,403.8111848,281.5314249
100,403.7663989,281.789365
101,403.721163,282.0472267
102,403.675477,282.3050089
103,403.6293412,282.562711
104,403.5827557,282.8203323
105,403.5357206,283.0778718
106,403.4882361,283.3353288
107,403.4403024,283.5927026
108,403.3919195,283.8499923
109,403.3430876,284.1071972
110,403.2938069,284.3643164
111,403.2440775,284.6213493
112,403.1938996,284.878295
113,403.1432733,285.1351527
114,403.0921988,285.3919216
115,403.0406762,285.6486011
116,402.9887057,285.9051902
117,402.9362874,286.1616882
118,402.8834216,286.4180943
119,402.8301083,286.6744078
120,402.7763478,286.9306278
121,402.7221401,287.1867536
122,402.6674855,287.4427844
123,402.6123841,287.6987195
124,402.5568362,287.9545579
125,402.5008418,288.2102991
126,402.4444011,288.4659421
127,402.3875143,288.7214862
128,402.3301816,288.9769307
129,402.2724031,289.2322746
130,402.2141791,289.4875174
131,402.1555097,289.7426582
132,402.0963951,289.9976961
133,402.0368354,290.2526305
134,401.9768309,290.5074606
135,401.9163817,290.7621855
136,401.8554881,291.0168046
137,401.7941501,291.271317
138,401.732368,291.5257219
139,401.670142,291.7800186
140,401.6074722,292.0342064
141,401.5443589,292.2882843
142,401.4808023,292.5422518
143,401.4168025,292.7961079
144,401.3523597,293.0498519
145,401.2874742,293.3034831
146,401.2221461,293.5570006
147,401.1563756,293.8104037
148,401.0901629,294.0636917
149,401.0235083,294.3168637
150,400.9564119,294.569919
151,400.8888739,294.8228568
152,400.8208946,295.0756763
153,400.7524742,295.3283768
154,400.6836128,295.5809575
155,400.6143106,295.8334176
156,400.544568,296.0857564
157,400.474385,296.3379731
158,400.403762,296.5900669
159,400.332699,296.8420371
160,400.2611964,297.0938828
161,400.1892544,297.3456034
162,400.1168731,297.597198
163,400.0440529,297.8486659
164,399.9707938,298.1000063
165,399.8970962,298.3512185
166,399.8229602,298.6023017
167,399.7483862,298.8532551
168,399.6733742,299.104078
169,399.5979246,299.3547695
170,399.5220376,299.605329
171,399.4457134,299.8557557
172,399.3689522,300.1060488
173,399.2917543,300.3562075
174,399.2141199,300.6062311
175,399.1360493,300.8561188
176,399.0575426,301.1058699
177,398.9786002,301.3554836
178,398.8992222,301.6049591
179,398.8194089,301.8542957
180,398.7391606,302.1034927
181,398.6584774,302.3525492
182,398.5773597,302.6014644
183,398.4958077,302.8502378
184,398.4138216,303.0988684
185,398.3314017,303.3473555
186,398.2485483,303.5956985
187,398.1652615,303.8438964
188,398.0815417,304.0919486
189,397.997389,304.3398543
190,397.9128038,304.5876127
191,397.8277863,304.8352232
192,397.7423368,305.0826848
193,397.6564555,305.329997
194,397.5701427,305.5771589
195,397.4833987,305.8241698
196,397.3962237,306.0710289
197,397.3086179,306.3177355
198,397.2205817,306.5642888
199,397.1321153,306.810688
200,397.0432191,307.0569325
201,396.9538931,307.3030215
202,396.8641378,307.5489542
203,396.7739534,307.7947298
204,396.6833402,308.0403477
205,396.5922984,308.2858071
206,396.5008284,308.5311072
207,396.4089304,308.7762473
208,396.3166046,309.0212266
209,396.2238515,309.2660444
210,396.1306711,309.5106999
211,396.037064,309.7551924
212,395.9430302,309.9995212
213,395.8485702,310.2436855
214,395.7536841,310.4876846
215,395.6583724,310.7315177
216,395.5626352,310.975184
217,395.4664729,311.2186829
218,395.3698857,311.4620136
219,395.272874,311.7051753
220,395.1754381,311.9481674
221,395.0775782,312.190989
222,394.9792946,312.4336395
223,394.8805877,312.676118
224,394.7814578,312.9184239
225,394.681905,313.1605565
226,394.5819299,313.4025149
227,394.4815326,313.6442984
228,394.3807134,313.8859063
229,394.2794727,314.127338
230,394.1778108,314.3685925
231,394.075728,314.6096693
232,393.9732246,314.8505675
233,393.8703009,315.0912864
234,393.7669572,315.3318254
235,393.6631939,315.5721836
236,393.5590112,315.8123603
237,393.4544094,316.0523549
238,393.349389,316.2921665
239,393.2439502,316.5317945
240,393.1380933,316.771238
241,393.0318186,317.0104965
242,392.9251266,317.2495691
243,392.8180174,317.4884551
244,392.7104915,317.7271538
245,392.6025491,317.9656645
246,392.4941906,318.2039864
247,392.3854164,318.4421188
248,392.2762266,318.6800611
249,392.1666218,318.9178124
250,392.0566021,319.155372
251,391.9461681,319.3927393
252,391.8353199,319.6299134
253,391.7240579,319.8668937
254,391.6123824,320.1036795
255,391.5002939,320.34027
256,391.3877927,320.5766645
257,391.274879,320.8128623
258,391.1615532,321.0488627
259,391.0478157,321.2846649
260,390.9336668,321.5202683
261,390.8191069,321.755672
262,390.7041364,321.9908755
263,390.5887555,322.2258779
264,390.4729646,322.4606786
265,390.356764,322.6952769
266,390.2401542,322.929672
267,390.1231355,323.1638632
268,390.0057082,323.3978498
269,389.8878728,323.6316311
270,389.7696294,323.8652064
271,389.6509786,324.098575
272,389.5319207,324.3317361
273,389.412456,324.5646891
274,389.2925849,324.7974332
275,389.1723078,325.0299677
276,389.051625,325.262292
277,388.9305369,325.4944053
278,388.8090439,325.7263069
279,388.6871463,325.9579961
280,388.5648445,326.1894721
281,388.4421389,326.4207344
282,388.3190299,326.6517822
283,388.1955178,326.8826147
284,388.071603,327.1132314
285,387.9472859,327.3436314
286,387.8225669,327.573814
287,387.6974463,327.8037787
288,387.5719246,328.0335246
289,387.446002,328.2630511
290,387.3196791,328.4923575
291,387.1929561,328.721443
292,387.0658335,328.9503071
293,386.9383116,329.1789489
294,386.8103909,329.4073678
295,386.6820717,329.635563
296,386.5533544,329.863534
297,386.4242394,330.09128
298,386.2947272,330.3188003
299,386.164818,330.5460942
300,386.0345123,330.773161
301,385.9038106,331
302,385.7727131,331.2266106
303,385.6412203,331.452992
304,385.5093326,331.6791436
305,385.3770504,331.9050646
306,385.2443741,332.1307544
307,385.1113041,332.3562124
308,384.9778407,332.5814377
309,384.8439845,332.8064297
310,384.7097359,333.0311878
311,384.5750951,333.2557112
312,384.4400627,333.4799993
313,384.304639,333.7040514
314,384.1688245,333.9278668
315,384.0326196,334.1514448
316,383.8960247,334.3747847
317,383.7590401,334.5978859
318,383.6216664,334.8207477
319,383.4839039,335.0433693
320,383.3457531,335.2657502
321,383.2072144,335.4878896
322,383.0682882,335.7097869
323,382.9289749,335.9314414
324,382.789275,336.1528524
325,382.6491888,336.3740192
326,382.5087169,336.5949413
327,382.3678596,336.8156178
328,382.2266173,337.0360481
329,382.0849905,337.2562315
330,381.9429797,337.4761675
331,381.8005852,337.6958553
332,381.6578075,337.9152942
333,381.514647,338.1344835
334,381.3711042,338.3534227
335,381.2271795,338.572111
336,381.0828733,338.7905478
337,380.9381861,339.0087324
338,380.7931183,339.2266641
339,380.6476704,339.4443423
340,380.5018428,339.6617663
341,380.3556359,339.8789355
342,380.2090502,340.0958492
343,380.0620861,340.3125067
344,379.9147442,340.5289073
345,379.7670247,340.7450505
346,379.6189283,340.9609355
347,379.4704553,341.1765618
348,379.3216062,341.3919285
349,379.1723814,341.6070352
350,379.0227814,341.821881
351,378.8728066,342.0364655
352,378.7224576,342.2507878
353,378.5717348,342.4648474
354,378.4206385,342.6786437
355,378.2691694,342.8921759
356,378.1173278,343.1054434
357,377.9651142,343.3184455
358,377.812529,343.5311817
359,377.6595728,343.7436512
360,377.5062461,343.9558535
361,377.3525492,344.1677878
362,377.1984826,344.3794536
363,377.0440468,344.5908501
364,376.8892423,344.8019768
365,376.7340696,345.012833
366,376.5785291,345.223418
367,376.4226213,345.4337312
368,376.2663466,345.643772
369,376.1097056,345.8535398
370,375.9526988,346.0630338
371,375.7953265,346.2722535
372,375.6375893,346.4811982
373,375.4794877,346.6898672
374,375.3210221,346.89826
375,375.1621931,347.106376
376,375.003001,347.3142144
377,374.8434465,347.5217746
378,374.6835299,347.729056
379,374.5232519,347.936058
380,374.3626127,348.14278
381,374.201613,348.3492213
382,374.0402533,348.5553813
383,373.878534,348.7612593
384,373.7164556,348.9668548
385,373.5540186,349.172167
386,373.3912235,349.3771955
387,373.2280709,349.5819395
388,373.0645611,349.7863985
389,372.9006947,349.9905717
390,372.7364723,350.1944586
391,372.5718942,350.3980587
392,372.4069611,350.6013711
393,372.2416733,350.8043954
394,372.0760315,351.0071309
395,371.910036,351.209577
396,371.7436875,351.411733
397,371.5769864,351.6135985
398,371.4099333,351.8151726
399,371.2425285,352.0164549
400,371.0747728,352.2174447
401,370.9066665,352.4181415
402,370.7382101,352.6185445
403,370.5694043,352.8186532
404,370.4002495,353.0184669
405,370.2307461,353.2179852
406,370.0608948,353.4172072
407,369.8906961,353.6161326
408,369.7201504,353.8147606
409,369.5492583,354.0130906
410,369.3780204,354.2111221
411,369.206437,354.4088543
412,369.0345088,354.6062869
413,368.8622363,354.803419
414,368.68962,355.0002502
415,368.5166604,355.1967798
416,368.3433581,355.3930072
417,368.1697136,355.5889319
418,367.9957273,355.7845532
419,367.8214,355.9798705
420,367.6467319,356.1748833
421,367.4717238,356.369591
422,367.2963761,356.5639928
423,367.1206894,356.7580884
424,366.9446642,356.951877
425,366.7683011,357.1453581
426,366.5916005,357.3385311
427,366.4145631,357.5313955
428,366.2371893,357.7239505
429,366.0594797,357.9161956
430,365.8814348,358.1081303
431,365.7030552,358.299754
432,365.5243415,358.4910661
433,365.3452941,358.6820659
434,365.1659136,358.8727529
435,364.9862006,359.0631266
436,364.8061557,359.2531864
437,364.6257792,359.4429316
438,364.4450719,359.6323617
439,364.2640342,359.8214761
440,364.0826668,360.0102742
441,363.9009701,360.1987556
442,363.7189447,360.3869195
443,363.5365911,360.5747654
444,363.3539101,360.7622928
445,363.1709019,360.9495011
446,362.9875674,361.1363896
447,362.8039069,361.3229579
448,362.6199211,361.5092054
449,362.4356105,361.6951315
450,362.2509757,361.8807356
451,362.0660172,362.0660172
452,361.8807356,362.2509757
453,361.6951315,362.4356105
454,361.5092054,362.6199211
455,361.3229579,362.8039069
456,361.1363896,362.9875674
457,360.9495011,363.1709019
458,360.7622928,363.3539101
459,360.5747654,363.5365911
460,360.3869195,363.7189447
461,360.1987556,363.9009701
462,360.0102742,364.0826668
463,359.8214761,364.2640342
464,359.6323617,364.4450719
465,359.4429316,364.6257792
466,359.2531864,364.8061557
467,359.0631266,364.9862006
468,358.8727529,365.1659136
469,358.6820659,365.3452941
470,358.4910661,365.5243415
471,358.299754,365.7030552
472,358.1081303,365.8814348
473,357.9161956,366.0594797
474,357.7239505,366.2371893
475,357.5313955,366.4145631
476,357.3385311,366.5916005
477,357.1453581,366.7683011
478,356.951877,366.9446642
479,356.7580884,367.1206894
480,356.5639928,367.2963761
481,356.369591,367.4717238
482,356.1748833,367.6467319
483,355.9798705,367.8214
484,355.7845532,367.9957273
485,355.5889319,368.1697136
486,355.3930072,368.3433581
487,355.1967798,368.5166604
488,355.0002502,368.68962
489,354.803419,368.8622363
490,354.6062869,369.0345088
491,354.4088543,369.206437
492,354.2111221,369.3780204
493,354.0130906,369.5492583
494,353.8147606,369.7201504
495,353.6161326,369.8906961
496,353.4172072,370.0608948
497,353.2179852,370.2307461
498,353.0184669,370.4002495
499,352.8186532,370.5694043
500,352.6185445,370.7382101
501,352.4181415,370.9066665
502,352.2174447,371.0747728
503,352.0164549,371.2425285
504,351.8151726,371.4099333
505,351.6135985,371.5769864
506,351.411733,371.7436875
507,351.209577,371.910036
508,351.0071309,372.0760315
509,350.8043954,372.2416733
510,350.6013711,372.4069611
511,350.3980587,372.5718942
512,350.1944586,372.7364723
513,349.9905717,372.9006947
514,349.7863985,373.0645611
515,349.5819395,373.2280709
516,349.3771955,373.3912235
517,349.172167,373.5540186
518,348.9668548,373.7164556
519,348.7612593,373.878534
520,348.5553813,374.0402533
521,348.3492213,374.201613
522,348.14278,374.3626127
523,347.936058,374.5232519
524,347.729056,374.6835299
525,347.5217746,374.8434465
526,347.3142144,375.003001
527,347.106376,375.1621931
528,346.89826,375.3210221
529,346.6898672,375.4794877
530,346.4811982,375.6375893
531,346.2722535,375.7953265
532,346.0630338,375.9526988
533,345.8535398,376.1097056
534,345.643772,376.2663466
535,345.4337312,376.4226213
536,345.223418,376.5785291
537,345.012833,376.7340696
538,344.8019768,376.8892423
539,344.5908501,377.0440468
540,344.3794536,377.1984826
541,344.1677878,377.3525492
542,343.9558535,377.5062461
543,343.7436512,377.6595728
544,343.5311817,377.812529
545,343.3184455,377.9651142
546,343.1054434,378.1173278
547,342.8921759,378.2691694
548,342.6786437,378.4206385
549,342.4648474,378.5717348
550,342.2507878,378.7224576
551,342.0364655,378.8728066
552,341.821881,379.0227814
553,341.6070352,379.1723814
554,341.3919285,379.3216062
555,341.1765618,379.4704553
556,340.9609355,379.6189283
557,340.7450505,379.7670247
558,340.5289073,379.9147442
559,340.3125067,380.0620861
560,340.0958492,380.2090502
561,339.8789355,380.3556359
562,339.6617663,380.5018428
563,339.4443423,380.6476704
564,339.2266641,380.7931183
565,339.0087324,380.9381861
566,338.7905478,381.0828733
567,338.572111,381.2271795
568,338.3534227,381.3711042
569,338.1344835,381.514647
570,337.9152942,381.6578075
571,337.6958553,381.8005852
572,337.4761675,381.9429797
573,337.2562315,382.0849905
574,337.0360481,382.2266173
575,336.8156178,382.3678596
576,336.5949413,382.5087169
577,336.3740192,382.6491888
578,336.1528524,382.789275
579,335.9314414,382.9289749
580,335.7097869,383.0682882
581,335.4878896,383.2072144
582,335.2657502,383.3457531
583,335.0433693,383.4839039
584,334.8207477,383.6216664
585,334.5978859,383.7590401
586,334.3747847,383.8960247
587,334.1514448,384.0326196
588,333.9278668,384.1688245
589,333.7040514,384.304639
590,333.4799993,384.4400627
591,333.2557112,384.5750951
592,333.0311878,384.7097359
593,332.8064297,384.8439845
594,332.5814377,384.9778407
595,332.3562124,385.1113041
596,332.1307544,385.2443741
597,331.9050646,385.3770504
598,331.6791436,385.5093326
599,331.452992,385.6412203
600,331.2266106,385.7727131
601,331,385.9038106
602,330.773161,386.0345123
603,330.5460942,386.164818
604,330.3188003,386.2947272
605,330.09128,386.4242394
606,329.863534,386.5533544
607,329.635563,386.6820717
608,329.4073678,386.8103909
609,329.1789489,386.9383116
610,328.9503071,387.0658335
611,328.721443,387.1929561
612,328.4923575,387.3196791
613,328.2630511,387.446002
614,328.0335246,387.5719246
615,327.8037787,387.6974463
616,327.573814,387.8225669
617,327.3436314,387.9472859
618,327.1132314,388.071603
619,326.8826147,388.1955178
620,326.6517822,388.3190299
621,326.4207344,388.4421389
622,326.1894721,388.5648445
623,325.9579961,388.6871463
624,325.7263069,388.8090439
625,325.4944053,388.9305369
626,325.262292,389.051625
627,325.0299677,389.1723078
628,324.7974332,389.2925849
629,324.5646891,389.412456
630,324.3317361,389.5319207
631,324.098575,389.6509786
632,323.8652064,389.7696294
633,323.6316311,389.8878728
634,323.3978498,390.0057082
635,323.1638632,390.1231355
636,322.929672,390.2401542
637,322.6952769,390.356764
638,322.4606786,390.4729646
